# Herculaneum roll sizes — starter catalogue
#
# SCHEMA
#   id          PHerc number, or a work identifier for texts known only from
#               the medieval tradition
#   work        author and title as usually cited
#   columns     total columns of the ORIGINAL roll. Blank if unknown.
#   stichoi     total stichoi if an ancient count survives. Blank if unknown.
#   height_cm   roll height (page height). Blank if unknown.
#   diam_cm     original roll diameter. Blank if unknown.
#   status      measured | reconstructed | population | attested | assumed
#   source      where the number comes from. NEVER leave this blank.
#
# RULES OF ENTRY
#   1. No number without a source. An empty cell is information; an invented
#      cell is damage.
#   2. `columns` is the preferred size unit. The chain
#      columns -> sheet length -> diameter uses only the column period, which
#      is the more reliable of the two horizontal grid numbers.
#      Going through `stichoi` for PROSE additionally requires the letter
#      pitch (a stichos is a notional 35-letter unit, not a physical line),
#      and the letter pitch is currently under suspicion — see
#      data_sources.md. For VERSE a stichos IS the physical line and the
#      chain stays clean.
#   3. Distinguish the roll as it survives from the roll as it was. Several
#      Herculaneum rolls lost most of their bulk to 18th-20th century opening
#      attempts; PHerc. 1667 went from 4.9 cm to 2 cm of diameter that way.
#
# PRIOR ART — this is not a new idea. Papyrologists reconstruct original roll
# length and column counts from the width of successive volutions on opened
# fragments (e.g. the reconstruction of PHerc. 1004, a book of Philodemus'
# On Rhetoric, from 30 pieces). What is new here is only doing it from CT
# geometry on a roll that was never opened. Cite the method, don't claim it.
#
# TO EXTEND: the standard catalogues are Gigante, Catalogo dei Papiri
# Ercolanesi, and Sider, The Library of the Villa dei Papiri at Herculaneum
# (2005). Both give physical descriptions per roll.
#
# LIBRARY COMPOSITION -- the single most useful fact in this file. Resolving
# prose-vs-verse collapses 56 % of the width of an implied-columns band, and
# it does not need a CT scan: it is a base rate. Of ~1826 rolls recovered from
# the Villa, 62 are Latin (Sider 2005), and every identified Latin text is
# VERSE (Carmen de Bello Actiaco, Lucretius, Ennius' Annales, Caecilius
# Statius' Obolostates). The Greek remainder is overwhelmingly Epicurean
# prose, largely Philodemus. So for a roll drawn at random from this library:
#     P(Greek prose) ~ 0.966      P(Latin verse) <= 0.034
# Treat the verse branch of any band as a low-prior alternative, not a coequal.
#
id,work,columns,stichoi,height_cm,diam_cm,status,source
POPULATION,typical intact Herculaneum roll,,,19-24,4-6,population,"PHerc. 1667 virtual unwrapping paper, 2026: '8 cm out of the usual 19-24 cm of a full roll' and '2 cm out of 4-6 for a full roll'"
PHerc1667,unidentified philosophical treatise,,,8,2,measured,"same paper; SURVIVING dimensions after 19th-20th c. opening attempts reduced it from 4.9 cm to 2 cm diameter and 14 g to ~6 g"
PHerc1667-orig,unidentified philosophical treatise,,,,4.9,measured,"same paper; diameter before the 1969 and 1980s interventions"
PHerc139,"Philodemus, On Gods, Book 8",,,,,attested,"title and author recovered from the end-title region by virtual unwrapping, 2026"
PHerc1004,"[Philodemus], On Rhetoric, uncertain book",,,,,reconstructed,"original length and total column count reconstructed from volution widths across 30 pieces (27th Int. Congress of Papyrology, 2013) — NUMBER NOT YET ENTERED, needs the paper"
PHerc1428,"Philodemus, On Piety (De pietate)",367,,,,reconstructed,"reported as contained in a single roll (D. Obbink via R. Janko, 'The Herculaneum Library: Some Recent Developments'); Schober's edition numbers columns to at least 334-341, consistent with a roll of this order. VERIFY the 367 against the primary publication before relying on it"
OnPoemsII,"Philodemus, On Poems, Book 2",222,,,,reconstructed,"reconstructed in its entirety from papyri under six inventory numbers; roll 16 m long, 100 kollemata (initially 70, a further 30 glued on when the work proved long), 222 columns most of which survive (R. Janko, reported via Society for Classical Studies). Implies 72.1 mm per column and 160 mm per kollema"
PHerc1667,"unidentified philosophical treatise (ethics, impulse)",20,,,,measured,"~1.5 m of continuous text across ~20 columns recovered by complete virtual unwrapping, 2026. Implies ~75 mm per column. NOTE: this is the SURVIVING portion, not the original roll"
PHerc172,"Philodemus, On Vices, Book 1",70,,,,measured,"more than 70 columns recovered, Vesuvius Challenge announcement June 2026. Lower bound: recovered, not necessarily total"
PHerc118,,,,,,attested,"not a size entry: the 17-character-per-line column structure was established here by Oxford papyrologists from the Seales 3D composite and is used to reassemble fragments. This is the letters-per-line anchor for the grid self-consistency check in docs/data_sources.md"
HDT7,"Herodotus, Book VII",,,,,attested,"cited as a roll over 29 m long — an outlier, useful only as an upper bound on what a roll can be"
